dataset,lattice,n_atoms,n_shots,readout
mackey_glass,Square,4,1,Ridge
mackey_glass,Square,4,10,Ridge
mackey_glass,Square,4,100,Ridge
mackey_glass,Square,4,500,Ridge
mackey_glass,Square,4,1000,Ridge
mackey_glass,Square,9,1,Ridge
mackey_glass,Square,9,10,Ridge
mackey_glass,Square,9,100,Ridge
mackey_glass,Square,9,500,Ridge
mackey_glass,Square,9,1000,Ridge
logistic_map,Square,4,1,Ridge
logistic_map,Square,4,10,Ridge
logistic_map,Square,4,100,Ridge
logistic_map,Square,4,500,Ridge
logistic_map,Square,4,1000,Ridge
logistic_map,Square,9,1,Ridge
logistic_map,Square,9,10,Ridge
logistic_map,Square,9,100,Ridge
logistic_map,Square,9,500,Ridge
logistic_map,Square,9,1000,Ridge
ECG,Square,4,1,Ridge
ECG,Square,4,10,Ridge
ECG,Square,4,100,Ridge
ECG,Square,4,500,Ridge
ECG,Square,4,1000,Ridge
ECG,Square,9,1,Ridge
ECG,Square,9,10,Ridge
ECG,Square,9,100,Ridge
ECG,Square,9,500,Ridge
ECG,Square,9,1000,Ridge
Stocks,Square,4,1,Ridge
Stocks,Square,4,10,Ridge
Stocks,Square,4,100,Ridge
Stocks,Square,4,500,Ridge
Stocks,Square,4,1000,Ridge
Stocks,Square,9,1,Ridge
Stocks,Square,9,10,Ridge
Stocks,Square,9,100,Ridge
Stocks,Square,9,500,Ridge
Stocks,Square,9,1000,Ridge
Lorenz,Square,4,1,Ridge
Lorenz,Square,4,10,Ridge
Lorenz,Square,4,100,Ridge
Lorenz,Square,4,500,Ridge
Lorenz,Square,4,1000,Ridge
Lorenz,Square,9,1,Ridge
Lorenz,Square,9,10,Ridge
Lorenz,Square,9,100,Ridge
Lorenz,Square,9,500,Ridge
Lorenz,Square,9,1000,Ridge
HAC,Square,4,1,Ridge
HAC,Square,4,10,Ridge
HAC,Square,4,100,Ridge
HAC,Square,4,500,Ridge
HAC,Square,4,1000,Ridge
HAC,Square,9,1,Ridge
HAC,Square,9,10,Ridge
HAC,Square,9,100,Ridge
HAC,Square,9,500,Ridge
HAC,Square,9,1000,Ridge
mackey_glass,Square,2,100,Ridge
mackey_glass,Square,4,100,Ridge
mackey_glass,Square,6,100,Ridge
mackey_glass,Square,9,100,Ridge
mackey_glass,Square,12,100,Ridge
Stocks,Square,2,100,Ridge
Stocks,Square,4,100,Ridge
Stocks,Square,6,100,Ridge
Stocks,Square,9,100,Ridge
Stocks,Square,12,100,Ridge
mackey_glass,Square,6,100,Ridge
mackey_glass,Square,6,100,NN
mackey_glass,Square,6,100,SVR
Stocks,Square,6,100,Ridge
Stocks,Square,6,100,NN
Stocks,Square,6,100,SVR
logistic_map,Chain,6,100,Ridge
logistic_map,Square,6,100,Ridge
logistic_map,Triangular,6,100,Ridge
logistic_map,Honeycomb,6,100,Ridge
logistic_map,Chain,12,100,Ridge
logistic_map,Square,12,100,Ridge
logistic_map,Triangular,12,100,Ridge
logistic_map,Honeycomb,12,100,Ridge
